# orme-ocr-bench Experiment run log
# track:        cuda
# mode:         serial
# skip_existing: 0
# selection:    --engines trocr,trocr_large_printed,donut,nougat,florence2_base,florence2_large,surya,mmocr_abinet,mmocr_robustscanner,mmocr_satrn,kosmos25,dots_ocr
# started_utc:  20260627T163130Z
# host:         lnx-comw2-1.lunet.lboro.ac.uk
# os:           Linux 6.8.0-124-generic x86_64
# python:       Python 3.12.1
# git_commit:   df5400b main
# git_dirty:    yes
# HF_HOME:      /home/lunet/comw2/.cache/huggingface
# --- nvidia-smi ---
# name, memory.total [MiB], driver_version
# NVIDIA RTX A1000 Laptop GPU, 4096 MiB, 580.95.05
# ---------------------------------------------------------------

>>> benchmark_panel_ocr --engines trocr,trocr_large_printed,donut,nougat,florence2_base,florence2_large,surya,mmocr_abinet,mmocr_robustscanner,mmocr_satrn,kosmos25,dots_ocr --results-subdir cuda
Global env additions for subprocesses: HF_HOME=/home/lunet/comw2/.cache/huggingface

=== Launching trocr [engine 1/12] subprocess (python=.venv) ===
[trocr] loading...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/478 [00:00<?, ?it/s]
Loading weights:  31%|███       | 148/478 [00:00<00:00, 1371.71it/s]
Loading weights:  60%|█████▉    | 286/478 [00:00<00:00, 1364.53it/s]
Loading weights:  88%|████████▊ | 423/478 [00:00<00:00, 1355.25it/s]
Loading weights: 100%|██████████| 478/478 [00:00<00:00, 1362.01it/s]
[transformers] [1mVisionEncoderDecoderModel LOAD REPORT[0m from: microsoft/trocr-base-printed
Key                         | Status  | 
----------------------------+---------+-
encoder.pooler.dense.weight | MISSING | 
encoder.pooler.dense.bias   | MISSING | 

Notes:
- MISSING:	those params were newly initialized because missing from the checkpoint. Consider training on your downstream task.
[trocr] loaded in 23758.9 ms (RSS 1656.7 MB, device=cuda)
[trocr] warming up...
[trocr] warmed up in 558.0 ms
[trocr] panel 1/2 skill: 12 pages, 288 cells

[trocr] skill p01/12 cell 01/24  total 1/624 (  0.2%,   4.8/s, eta 2.2m)  
[trocr] skill p01/12 cell 02/24  total 2/624 (  0.3%,   7.7/s, eta 1.3m)  
[trocr] skill p01/12 cell 03/24  total 3/624 (  0.5%,   7.7/s, eta 1.3m)  
[trocr] skill p01/12 cell 04/24  total 4/624 (  0.6%,   9.1/s, eta 1.1m)  
[trocr] skill p01/12 cell 05/24  total 5/624 (  0.8%,   7.6/s, eta 1.4m)  
[trocr] skill p01/12 cell 06/24  total 6/624 (  1.0%,   8.3/s, eta 1.2m)  
[trocr] skill p01/12 cell 07/24  total 7/624 (  1.1%,   7.7/s, eta 1.3m)  
[trocr] skill p01/12 cell 08/24  total 8/624 (  1.3%,   8.4/s, eta 1.2m)  
[trocr] skill p01/12 cell 09/24  total 9/624 (  1.4%,   8.3/s, eta 1.2m)  
[trocr] skill p01/12 cell 10/24  total 10/624 (  1.6%,   8.6/s, eta 1.2m)  
[trocr] skill p01/12 cell 11/24  total 11/624 (  1.8%,   8.6/s, eta 1.2m)  
[trocr] skill p01/12 cell 12/24  total 12/624 (  1.9%,   9.1/s, eta 1.1m)  
[trocr] skill p01/12 cell 13/24  total 13/624 (  2.1%,   8.9/s, eta 1.1m)  
[trocr] skill p01/12 cell 14/24  total 14/624 (  2.2%,   9.3/s, eta 1.1m)  
[trocr] skill p01/12 cell 15/24  total 15/624 (  2.4%,   9.0/s, eta 1.1m)  
[trocr] skill p01/12 cell 16/24  total 16/624 (  2.6%,   9.3/s, eta 1.1m)  
[trocr] skill p01/12 cell 17/24  total 17/624 (  2.7%,   8.9/s, eta 1.1m)  
[trocr] skill p01/12 cell 18/24  total 18/624 (  2.9%,   9.2/s, eta 1.1m)  
[trocr] skill p01/12 cell 19/24  total 19/624 (  3.0%,   8.6/s, eta 1.2m)  
[trocr] skill p01/12 cell 20/24  total 20/624 (  3.2%,   8.8/s, eta 1.1m)  
[trocr] skill p01/12 cell 21/24  total 21/624 (  3.4%,   8.4/s, eta 1.2m)  
[trocr] skill p01/12 cell 22/24  total 22/624 (  3.5%,   8.6/s, eta 1.2m)  
[trocr] skill p01/12 cell 23/24  total 23/624 (  3.7%,   8.5/s, eta 1.2m)  
[trocr] skill p01/12 cell 24/24  total 24/624 (  3.8%,   8.8/s, eta 1.1m)  
[trocr] skill p01/12 done in 2.7s (24 cells)                    

[trocr] skill p02/12 cell 01/24  total 25/624 (  4.0%,   8.5/s, eta 1.2m)  
[trocr] skill p02/12 cell 02/24  total 26/624 (  4.2%,   8.7/s, eta 1.1m)  
[trocr] skill p02/12 cell 03/24  total 27/624 (  4.3%,   8.5/s, eta 1.2m)  
[trocr] skill p02/12 cell 04/24  total 28/624 (  4.5%,   8.7/s, eta 1.1m)  
[trocr] skill p02/12 cell 05/24  total 29/624 (  4.6%,   8.6/s, eta 1.2m)  
[trocr] skill p02/12 cell 06/24  total 30/624 (  4.8%,   8.7/s, eta 1.1m)  
[trocr] skill p02/12 cell 07/24  total 31/624 (  5.0%,   8.4/s, eta 1.2m)  
[trocr] skill p02/12 cell 08/24  total 32/624 (  5.1%,   8.6/s, eta 1.1m)  
[trocr] skill p02/12 cell 09/24  total 33/624 (  5.3%,   8.4/s, eta 1.2m)  
[trocr] skill p02/12 cell 10/24  total 34/624 (  5.4%,   8.6/s, eta 1.1m)  
[trocr] skill p02/12 cell 11/24  total 35/624 (  5.6%,   8.5/s, eta 1.2m)  
[trocr] skill p02/12 cell 12/24  total 36/624 (  5.8%,   8.7/s, eta 1.1m)  
[trocr] skill p02/12 cell 13/24  total 37/624 (  5.9%,   8.4/s, eta 1.2m)  
[trocr] skill p02/12 cell 14/24  total 38/624 (  6.1%,   8.5/s, eta 1.1m)  
[trocr] skill p02/12 cell 15/24  total 39/624 (  6.2%,   8.4/s, eta 1.2m)  
[trocr] skill p02/12 cell 16/24  total 40/624 (  6.4%,   8.5/s, eta 1.1m)  
[trocr] skill p02/12 cell 17/24  total 41/624 (  6.6%,   8.5/s, eta 1.1m)  
[trocr] skill p02/12 cell 18/24  total 42/624 (  6.7%,   8.6/s, eta 1.1m)  
[trocr] skill p02/12 cell 19/24  total 43/624 (  6.9%,   8.5/s, eta 1.1m)  
[trocr] skill p02/12 cell 20/24  total 44/624 (  7.1%,   8.6/s, eta 1.1m)  
[trocr] skill p02/12 cell 21/24  total 45/624 (  7.2%,   8.5/s, eta 1.1m)  
[trocr] skill p02/12 cell 22/24  total 46/624 (  7.4%,   8.6/s, eta 1.1m)  
[trocr] skill p02/12 cell 23/24  total 47/624 (  7.5%,   8.6/s, eta 1.1m)  
[trocr] skill p02/12 cell 24/24  total 48/624 (  7.7%,   8.7/s, eta 1.1m)  
[trocr] skill p02/12 done in 2.7s (24 cells)                    

[trocr] skill p03/12 cell 01/24  total 49/624 (  7.9%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 02/24  total 50/624 (  8.0%,   8.7/s, eta 1.1m)  
[trocr] skill p03/12 cell 03/24  total 51/624 (  8.2%,   8.7/s, eta 1.1m)  
[trocr] skill p03/12 cell 04/24  total 52/624 (  8.3%,   8.8/s, eta 1.1m)  
[trocr] skill p03/12 cell 05/24  total 53/624 (  8.5%,   8.5/s, eta 1.1m)  
[trocr] skill p03/12 cell 06/24  total 54/624 (  8.7%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 07/24  total 55/624 (  8.8%,   8.5/s, eta 1.1m)  
[trocr] skill p03/12 cell 08/24  total 56/624 (  9.0%,   8.5/s, eta 1.1m)  
[trocr] skill p03/12 cell 09/24  total 57/624 (  9.1%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 10/24  total 58/624 (  9.3%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 11/24  total 59/624 (  9.5%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 12/24  total 60/624 (  9.6%,   8.7/s, eta 1.1m)  
[trocr] skill p03/12 cell 13/24  total 61/624 (  9.8%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 14/24  total 62/624 (  9.9%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 15/24  total 63/624 ( 10.1%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 16/24  total 64/624 ( 10.3%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 17/24  total 65/624 ( 10.4%,   8.5/s, eta 1.1m)  
[trocr] skill p03/12 cell 18/24  total 66/624 ( 10.6%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 19/24  total 67/624 ( 10.7%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 20/24  total 68/624 ( 10.9%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 21/24  total 69/624 ( 11.1%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 22/24  total 70/624 ( 11.2%,   8.6/s, eta 1.1m)  
[trocr] skill p03/12 cell 23/24  total 71/624 ( 11.4%,   8.5/s, eta 1.1m)  
[trocr] skill p03/12 cell 24/24  total 72/624 ( 11.5%,   8.5/s, eta 1.1m)  
[trocr] skill p03/12 done in 2.9s (24 cells)                    

[trocr] skill p04/12 cell 01/24  total 73/624 ( 11.7%,   8.5/s, eta 1.1m)  
[trocr] skill p04/12 cell 02/24  total 74/624 ( 11.9%,   8.5/s, eta 1.1m)  
[trocr] skill p04/12 cell 03/24  total 75/624 ( 12.0%,   8.5/s, eta 1.1m)  
[trocr] skill p04/12 cell 04/24  total 76/624 ( 12.2%,   8.5/s, eta 1.1m)  
[trocr] skill p04/12 cell 05/24  total 77/624 ( 12.3%,   8.5/s, eta 1.1m)  
[trocr] skill p04/12 cell 06/24  total 78/624 ( 12.5%,   8.5/s, eta 1.1m)  
[trocr] skill p04/12 cell 07/24  total 79/624 ( 12.7%,   8.4/s, eta 1.1m)  
[trocr] skill p04/12 cell 08/24  total 80/624 ( 12.8%,   8.5/s, eta 1.1m)  
[trocr] skill p04/12 cell 09/24  total 81/624 ( 13.0%,   8.4/s, eta 1.1m)  
[trocr] skill p04/12 cell 10/24  total 82/624 ( 13.1%,   8.4/s, eta 1.1m)  
[trocr] skill p04/12 cell 11/24  total 83/624 ( 13.3%,   8.3/s, eta 1.1m)  
[trocr] skill p04/12 cell 12/24  total 84/624 ( 13.5%,   8.3/s, eta 1.1m)  
[trocr] skill p04/12 cell 13/24  total 85/624 ( 13.6%,   8.2/s, eta 1.1m)  
[trocr] skill p04/12 cell 14/24  total 86/624 ( 13.8%,   8.3/s, eta 1.1m)  
[trocr] skill p04/12 cell 15/24  total 87/624 ( 13.9%,   8.2/s, eta 1.1m)  
[trocr] skill p04/12 cell 16/24  total 88/624 ( 14.1%,   8.2/s, eta 1.1m)  
[trocr] skill p04/12 cell 17/24  total 89/624 ( 14.3%,   8.2/s, eta 1.1m)  
[trocr] skill p04/12 cell 18/24  total 90/624 ( 14.4%,   8.3/s, eta 1.1m)  
[trocr] skill p04/12 cell 19/24  total 91/624 ( 14.6%,   8.2/s, eta 1.1m)  
